n_features,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差
1,TVS-RF,0.361256545,0,REVS-RF,0.361256545,0,Logistic,0.458115183,0,RandomForest,0.458115183,0,SVM,0.458115183,0
2,TVS-RF,0.362303665,0.002341432,REVS-RF,0.458115183,0,Logistic,0.504712042,0.002867657,RandomForest,0.47486911,0.015772116,SVM,0.458115183,0
3,TVS-RF,0.384293194,0.047243876,REVS-RF,0.505759162,0.004682865,Logistic,0.515183246,0.017205944,RandomForest,0.479057592,0.031468103,SVM,0.465445026,0.016390027
4,TVS-RF,0.370157068,0.019902176,REVS-RF,0.513089005,0.010633558,Logistic,0.510471204,0.013602493,RandomForest,0.508900524,0.029009205,SVM,0.467539267,0.021072892
5,TVS-RF,0.405235602,0.069738731,REVS-RF,0.519371728,0.020073602,Logistic,0.507329843,0.004301486,RandomForest,0.486910995,0.03944115,SVM,0.458115183,0
6,TVS-RF,0.370157068,0.019902176,REVS-RF,0.513089005,0.014338287,Logistic,0.495287958,0.021056626,RandomForest,0.497905759,0.036714601,SVM,0.458115183,0
7,TVS-RF,0.389528796,0.042911181,REVS-RF,0.523560209,0.011707162,Logistic,0.521465969,0.010536446,RandomForest,0.481151832,0.032873995,SVM,0.458115183,0
8,TVS-RF,0.380628272,0.0433165,REVS-RF,0.513089005,0.014338287,Logistic,0.521465969,0.010536446,RandomForest,0.523560209,0.011707162,SVM,0.458115183,0
9,TVS-RF,0.418324607,0.028760092,REVS-RF,0.520418848,0.016802939,Logistic,0.518324607,0.014338287,RandomForest,0.483246073,0.036770555,SVM,0.464921466,0.015219311
10,TVS-RF,0.392146597,0.039761287,REVS-RF,0.509424084,0.030841207,Logistic,0.513089005,0.014338287,RandomForest,0.529842932,0.015880367,SVM,0.464921466,0.015219311
11,TVS-RF,0.410471204,0.038535952,REVS-RF,0.513089005,0.014338287,Logistic,0.514659686,0.016721172,RandomForest,0.507853403,0.039179659,SVM,0.522513089,0.016200784
12,TVS-RF,0.416230366,0.042170167,REVS-RF,0.526701571,0.015083623,Logistic,0.528272251,0.017599724,RandomForest,0.493717277,0.019902176,SVM,0.528795812,0
13,TVS-RF,0.391623037,0.031007409,REVS-RF,0.506282723,0.03139179,Logistic,0.523036649,0.020975105,RandomForest,0.508376963,0.033544646,SVM,0.504188482,0.028890847
14,TVS-RF,0.382722513,0.047999365,REVS-RF,0.552356021,0.047047646,Logistic,0.517801047,0.02239712,RandomForest,0.52460733,0.020073602,SVM,0.519371728,0.022941259
15,TVS-RF,0.380628272,0.017716151,REVS-RF,0.532460733,0.008195014,Logistic,0.521989529,0.038633635,RandomForest,0.497382199,0.038250364,SVM,0.502617801,0
16,TVS-RF,0.405235602,0.034748782,REVS-RF,0.515183246,0.017599724,Logistic,0.502617801,0,RandomForest,0.502617801,0,SVM,0.521465969,0.018361966
17,TVS-RF,0.395287958,0.022212778,REVS-RF,0.513089005,0.014338287,Logistic,0.509947644,0.016390027,RandomForest,0.508376963,0.033544646,SVM,0.507853403,0.011707162
18,TVS-RF,0.393717277,0.039553926,REVS-RF,0.519895288,0.026541972,Logistic,0.52408377,0.046180266,RandomForest,0.517277487,0.020073602,SVM,0.513089005,0.014338287
19,TVS-RF,0.410994764,0.029674827,REVS-RF,0.513089005,0.014338287,Logistic,0.506282723,0.020073602,RandomForest,0.493717277,0.019902176,SVM,0.521465969,0.018361966
20,TVS-RF,0.413089005,0.053245069,REVS-RF,0.507853403,0.011707162,Logistic,0.502617801,0,RandomForest,0.493717277,0.019902176,SVM,0.533507853,0.027605081
21,TVS-RF,0.416230366,0.051994827,REVS-RF,0.543455497,0.04525087,Logistic,0.490052356,0.019537286,RandomForest,0.509947644,0.016390027,SVM,0.502617801,0
22,TVS-RF,0.428795812,0.036339378,REVS-RF,0.532460733,0.035490277,Logistic,0.493717277,0.019902176,RandomForest,0.509947644,0.016390027,SVM,0.504188482,0.015880367
23,TVS-RF,0.417801047,0.028352127,REVS-RF,0.530890052,0.04027502,Logistic,0.532984293,0.032570327,RandomForest,0.506282723,0.020073602,SVM,0.507853403,0.011707162
24,TVS-RF,0.434554974,0.041761927,REVS-RF,0.527225131,0.038007731,Logistic,0.509947644,0.016390027,RandomForest,0.509947644,0.027790643,SVM,0.50052356,0.030269297
25,TVS-RF,0.435602094,0.054081514,REVS-RF,0.502617801,0,Logistic,0.484816754,0.024375088,RandomForest,0.509947644,0.016390027,SVM,0.513089005,0.014338287
26,TVS-RF,0.407329843,0.036112373,REVS-RF,0.518848168,0.049820819,Logistic,0.516230366,0.041448976,RandomForest,0.493717277,0.019902176,SVM,0.507853403,0.011707162
27,TVS-RF,0.452356021,0.073331145,REVS-RF,0.52408377,0.042711091,Logistic,0.49895288,0.008195014,RandomForest,0.490052356,0.019537286,SVM,0.507853403,0.011707162
28,TVS-RF,0.421465969,0.061000943,REVS-RF,0.497382199,0.029674827,Logistic,0.502617801,0,RandomForest,0.49895288,0.008195014,SVM,0.509424084,0.019201174
29,TVS-RF,0.448167539,0.036621156,REVS-RF,0.502617801,0,Logistic,0.509947644,0.016390027,RandomForest,0.509947644,0.016390027,SVM,0.518324607,0.014338287
30,TVS-RF,0.426701571,0.071643624,REVS-RF,0.493717277,0.019902176,Logistic,0.497382199,0.029674827,RandomForest,0.493717277,0.019902176,SVM,0.515706806,0.03589348
