"method","n_features","r2_mean","r2_var","adj_r2_mean","adj_r2_var"
"REVS-BART",1,0.21900790302815,0,0.218615838722441,0
"REVS-BART",2,0.409629338900187,0.010506023801347,0.409036299562065,0.0105271414318014
"REVS-BART",3,0.524038522989956,0.000395495853567497,0.523320993125117,0.000396689202208763
"REVS-BART",4,0.610175684765594,4.73806296027309e-05,0.609391724352855,4.75713918843472e-05
"REVS-BART",5,0.631789336380498,0.00313400140291428,0.630863253222501,0.00314978582218772
"REVS-BART",6,0.61881745860797,9.99024387164365e-05,0.617666429293249,0.000100506685960298
"REVS-BART",7,0.622728499809282,1.65089528932148e-06,0.621398741248691,1.66255353006153e-06
"REVS-BART",8,0.652818164662362,0.00451273259048593,0.651418943159741,0.00454918056032511
"REVS-BART",9,0.623413485618203,0.000463767568418882,0.621705179857398,0.000467984680460482
"REVS-BART",10,0.630403522115672,1.07799045225738e-05,0.628539697214592,1.08889018530899e-05
"REVS-BART",11,0.637835109846524,0.000125319962265889,0.635825112978871,0.000126714861299186
"REVS-BART",12,0.624120180134755,0.000526826731926914,0.621843270574743,0.00053322861829571
"REVS-BART",13,0.640099376816873,0.000132853562611125,0.637736392927287,0.000134603831373318
"REVS-BART",14,0.669370635816211,0.00495063267866173,0.667031671137801,0.0050209247581275
"REVS-BART",15,0.631012990634426,0.000669471798165706,0.628214808055819,0.000679664066723929
"REVS-BART",16,0.640999646645665,8.81655410732424e-05,0.638094231545175,8.95983755664683e-05
"REVS-BART",17,0.647639437743209,4.98159440015196e-05,0.644607995659016,5.06767880956327e-05
"REVS-BART",18,0.651204624193962,7.34057666990179e-05,0.648025729629654,7.47498932122595e-05
"REVS-BART",19,0.615551036188448,0.000504046285440063,0.611850666222683,0.000513796000497839
"REVS-BART",20,0.640350839327522,0.000542788964212542,0.6367051306537,0.000553849076704661
"REVS-BART",21,0.65029955958035,6.10373949873395e-05,0.646575569089066,6.23443019005596e-05
"REVS-BART",22,0.642644270518738,0.000331179217066253,0.638655520620926,0.000338613620987009
"REVS-BART",23,0.644474741926078,0.000650324079477732,0.640323939420647,0.000665597956547565
"REVS-BART",24,0.654845637033832,8.95858883852076e-06,0.650638575220126,9.17831101150065e-06
"REVS-BART",25,0.625154838598159,0.000965217287479062,0.6203930860397,0.000989895844052069
"REVS-BART",26,0.632228205946952,0.000693270806384632,0.627366962100801,0.000711719377152936
"REVS-BART",27,0.616475676329896,0.00055678386348154,0.611208556930561,0.000572182025294188
"REVS-BART",28,0.617410102675195,0.000609982828447555,0.611958440016114,0.000627490416578233
"REVS-BART",29,0.643656636323609,0.000609468521196547,0.638394947145088,0.000627599963847792
"REVS-BART",30,0.629127109792828,0.00119138382528939,0.623459159356651,0.00122807728298455
"REVS-RF",1,0.21900790302815,0,0.218615838722441,0
"REVS-RF",2,0.531132664554708,0.00496518119454831,0.530661677778771,0.00497516145573827
"REVS-RF",3,0.538170535816857,0.000284829243900451,0.537474310493968,0.000285688672863196
"REVS-RF",4,0.599066142649243,1.04270474574289e-05,0.598259840271464,1.04690284817455e-05
"REVS-RF",5,0.606197348133641,0.00031675883670914,0.605206898808021,0.000318354194733719
"REVS-RF",6,0.651271184782434,0.00438562890640665,0.650218153634319,0.00441215482722842
"REVS-RF",7,0.621688113440278,7.94419442589075e-05,0.620354687858245,8.0002944897172e-05
"REVS-RF",8,0.619397348246637,4.96346823488449e-05,0.617863433277354,5.00355665955744e-05
"REVS-RF",9,0.62638770929992,0.000102998145336129,0.62469289548122,0.000103934723804607
"REVS-RF",10,0.62594878967092,0.000101463254822152,0.624062500158419,0.000102489165942044
"REVS-RF",11,0.615412819723676,0.000141981479662466,0.613278380277137,0.000143561833064641
"REVS-RF",12,0.624201878760288,5.96185361783464e-05,0.621925464093515,6.03430079466865e-05
"REVS-RF",13,0.62883978142086,6.74381910692202e-06,0.626402870894836,6.83266501883219e-06
"REVS-RF",14,0.63164307015845,6.1834476758826e-05,0.629037210119146,6.27124400892089e-05
"REVS-RF",15,0.628869260236449,3.7269807135991e-05,0.626054820855027,3.78372154786337e-05
"REVS-RF",16,0.637152123915848,4.3533416465463e-05,0.634215570543391,4.42409058083559e-05
"REVS-RF",17,0.608509938506768,0.000266476821548677,0.605141855993921,0.000271081672518501
"REVS-RF",18,0.614380845383976,0.000486388505733052,0.610866341696336,0.000495294722719684
"REVS-RF",19,0.63120959874246,0.000184302544735849,0.627659944424378,0.000187867489756779
"REVS-RF",20,0.623525303699515,0.00037237494303546,0.619709037137929,0.00037996262265086
"REVS-RF",21,0.623288184254851,0.000178578531026255,0.619276547271764,0.000182402179083307
"REVS-RF",22,0.638806183857847,1.48198572826114e-05,0.634774593824804,1.51525375940841e-05
"REVS-RF",23,0.632096619941365,0.000176264673971737,0.627801301290935,0.000180404525235066
"REVS-RF",24,0.630636399560941,0.000310208064554402,0.6261342530853,0.000317816359928627
"REVS-RF",25,0.627684976747798,0.000475201539789754,0.622955365171932,0.000487351434155933
"REVS-RF",26,0.611994311735042,0.000315860111729255,0.606865614279583,0.000324265438436303
"REVS-RF",27,0.616780606448977,0.000384912377445048,0.611517674797971,0.000395557339449747
"REVS-RF",28,0.632784782100331,0.000342559844027583,0.627552198842727,0.00035239191860353
"REVS-RF",29,0.625751393117556,0.000574471984608171,0.620225318983345,0.000591562294413214
"REVS-RF",30,0.619675110578653,0.000558991072791038,0.613862707785663,0.000576207451632212
